"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"e-890165";"Z_6";"10";"sum";"TRUE";"10";"0";"10";"3";"0.0046";"0.0247";"1e-04";"3e-04";"0.0855";"0.0041";"1e-04";"1e-04";"0.0041";"2e-04";"6e-04";"0.0326";"0";"0.255";"0.0398";"2e-04";"1e-04";"0.0189";"0";"0.268";"0.0865";"0";"0.2582";"0.0409";"0.5604";"0";"0.3209";"0.1454";"0.5704";"0.5512";"0.5557"
"m-483113";"Z_3";"20";"sum";"TRUE";"2";"0.2";"0.5";"2";"1.1931";"1.0602";"0.6044";"1.2264";"1.0845";"1.0602";"0.4826";"1.1989";"0.9859";"0.6807";"1.0602";"1.2623";"0.6344";"0.3349";"1.8525";"0.3428";"1.0768";"1.1653";"0.6374";"0.314";"1.7846";"0.7444";"0.5025";"1.4847";"0.9714";"0.4162";"0.4005";"1.5165";"0.8802";"1.1998";"1.1225"
"f-209669";"Z_2";"100";"sum";"FALSE";"20";"0";"2";"3";"0.3514";"1.1219";"0.626";"0.4192";"0.5547";"0.4172";"0.5448";"0.1958";"0.2243";"1.1219";"0.8578";"0.8845";"0.5591";"0.585";"0.6658";"0.5198";"0.2271";"0.2438";"0.2111";"0.2685";"0.1947";"1.0279";"0.9754";"0.8578";"0.63";"0.2241";"0.3016";"0.2177";"0.2138";"0.9686";"0.2291"
"j-400304";"Z_4";"20";"sum";"TRUE";"100";"0.2";"0.1";"3";"0.2399";"0.7526";"1.7718";"0.3338";"1.2927";"0.2863";"1.6984";"0.2357";"1.0406";"1.6231";"0.8999";"1.5072";"1.4218";"1.4518";"0.7511";"1.6254";"0.2278";"1.5072";"1.4916";"1.4036";"0.6224";"1.5337";"0.8406";"0.7468";"1.1665";"1.532";"0.9052";"0.9658";"1.0819";"1.2113";"1.4723"
"v-544558";"Z_1";"50";"sum";"FALSE";"5";"0";"1";"1";"0.0091";"0.3013";"0.1478";"0.2304";"0.1478";"0";"0.0046";"0.0285";"0.0011";"0.3804";"0.3876";"0.2025";"0.2354";"0.1166";"0.2256";"0";"1e-04";"0";"0.0157";"8e-04";"0.0035";"0.4909";"0.1854";"0.3135";"0.1548";"4e-04";"0";"2e-04";"0.0024";"0.3135";"1e-04"
"b-867304";"Z_3";"10";"product";"FALSE";"50";"0";"2";"1";"0.8309";"0.0425";"0.1936";"0.2365";"1e-04";"0.3012";"0.9011";"0.5963";"0.3929";"0.0163";"0.263";"0.0013";"0.172";"1e-04";"2e-04";"0.4447";"0.935";"0.7125";"0.6316";"0.2671";"0.1817";"0.3743";"0.0013";"0.0991";"1e-04";"0.9346";"0.675";"1.0387";"0.1334";"0.1097";"0.9643"
"o-551651";"Z_5";"100";"sum";"FALSE";"10";"0.2";"2";"3";"1.4971";"1.9103";"1.7708";"1.817";"1.8467";"1.4135";"1.4971";"1.9666";"1.3021";"1.9144";"1.9463";"1.9253";"1.8223";"1.8451";"1.9271";"1.3972";"1.7305";"1.349";"1.9259";"1.3972";"1.7685";"1.9545";"1.9255";"1.9915";"1.9239";"1.7494";"1.3972";"1.6199";"1.7877";"1.9914";"1.5841"
"h-750484";"Z_2";"10";"product";"FALSE";"10";"5";"10";"3";"0.1718";"0.6268";"0.1164";"3e-04";"0.8712";"0.0618";"0.0115";"0.9887";"0.0569";"0.5804";"0.3189";"0.6976";"0.0903";"0.0611";"0.1597";"0.004";"0.0133";"0.1002";"0.0067";"0.0301";"0.0531";"0.0552";"0.3832";"0.2686";"0.0783";"0.0398";"0.0177";"0.028";"0.016";"0.0538";"0.0169"
"n-101332";"Z_2";"100";"sum";"TRUE";"20";"0.5";"1";"4";"0.6685";"0.9484";"0.3512";"0.7203";"0.9299";"0.7427";"0.8273";"0.8804";"0.6925";"0.4945";"1.1766";"0.9205";"0.3567";"0.4096";"0.9463";"0.7925";"0.7688";"0.7427";"0.845";"0.409";"0.8804";"0.6472";"0.4336";"1.3022";"0.4122";"1.1269";"0.6201";"0.7427";"0.4133";"0.5398";"0.7254"
"s-586774";"Z_1";"2";"product";"TRUE";"20";"5";"5";"3";"0.5496";"1.3082";"1.5044";"1.5116";"1.5846";"1.6351";"0.9744";"0.771";"1.0229";"1.3";"1.1743";"1.2877";"1.4589";"1.4868";"1.5328";"1.3722";"1.5734";"1.6392";"0.9277";"1.0902";"0.1404";"1.1789";"1.248";"1.1865";"1.4533";"1.3926";"1.0257";"1.5803";"1.0229";"1.185";"1.1999"
"v-434471";"Z_3";"3";"product";"TRUE";"10";"10";"0.1";"2";"0.8171";"0.2609";"0.6835";"0.968";"0.2745";"1.0369";"0.8243";"1.0588";"0.2709";"0.4284";"0.292";"0.6019";"0.968";"0.2393";"0.2742";"1.004";"1.1124";"1.2335";"1.0448";"0.1011";"0.3004";"0.5706";"0.4777";"0.6042";"0.3307";"1.1662";"0.6706";"1.1645";"0.0618";"0.2512";"0.4137"
"s-480105";"Z_6";"3";"product";"TRUE";"50";"0.5";"0.2";"4";"0.2646";"0.2658";"0.3862";"0.2984";"0.2603";"0.2669";"0.4124";"0.3156";"0.2601";"0.3898";"0.2864";"0.2618";"0.3866";"0.3843";"0.2811";"0.4192";"0.2904";"0.2665";"0.4184";"0.417";"0.2758";"0.3788";"0.387";"0.2639";"0.3819";"0.426";"0.4318";"0.2737";"0.4153";"0.3691";"0.415"
"k-983638";"Z_4";"10";"product";"FALSE";"5";"0.2";"2";"1";"0.3498";"0.2569";"0.754";"0.3329";"0";"0.1132";"0.6925";"0.405";"0";"0.4268";"0.2633";"0";"0.7523";"0.5223";"0";"0.4182";"0.0703";"0";"0.6737";"0.4395";"0";"0.4261";"0.2563";"0";"0.4502";"0.4148";"0.2834";"0";"0.4097";"0.2547";"0.2528"
"m-747514";"Z_5";"20";"sum";"TRUE";"5";"2";"0.1";"1";"1.6202";"1.7194";"0.7424";"1.0256";"1.3102";"1.9361";"0.7623";"0.9889";"1.4593";"0.7513";"1.2019";"1.3783";"0.5992";"1.1558";"0.246";"1.2008";"1.3649";"1.3381";"0.5859";"1.1068";"0.2474";"0.628";"1.2948";"0.2193";"0.2461";"0.7788";"1.4079";"0.2111";"0.2299";"1.0476";"1.115"
"e-191533";"Z_1";"50";"sum";"FALSE";"10";"0";"0";"4";"0.7621";"1.1003";"0.5034";"0.6821";"1.6229";"1.1142";"1.1762";"0.8379";"1.6168";"0.9431";"0.7417";"1.5081";"0.4394";"1.3696";"1.6055";"0.9455";"0.7357";"1.5127";"1.0297";"1.3264";"1.6009";"0.5783";"1.373";"1.4778";"1.327";"0.5803";"1.3403";"1.4828";"1.3089";"1.3445";"1.3428"
"e-454795";"Z_3";"20";"product";"FALSE";"2";"0.5";"2";"4";"0.9398";"0.75";"1.4749";"1.3337";"1.5604";"0.8989";"1.1699";"0.9861";"1.1984";"0.7829";"0.5071";"0.9574";"1.4858";"1.7072";"1.5732";"1.1257";"0.9245";"1.1246";"1.1906";"1.3296";"1.2559";"0.565";"0.9678";"0.6711";"1.7105";"1.1287";"1.2741";"1.1655";"1.3647";"0.6833";"1.3094"
"x-747575";"Z_4";"20";"sum";"TRUE";"20";"0.5";"0.2";"4";"0.6296";"0.7193";"0.4919";"0.6081";"0.5158";"0.7041";"0.5058";"0.5917";"0.5154";"0.4954";"0.6927";"0.5825";"0.4174";"0.3543";"0.4653";"0.5035";"0.6784";"0.5841";"0.4321";"0.3572";"0.4633";"0.4334";"0.3604";"0.5316";"0.2956";"0.4453";"0.359";"0.5316";"0.2982";"0.2981";"0.2995"
"n-291369";"Z_1";"50";"product";"FALSE";"10";"0.1";"0.2";"1";"1.3091";"1.4016";"1.5329";"1.2641";"1.4232";"0.6395";"1.4396";"1.313";"1.7242";"1.5274";"1.2896";"1.4114";"1.4195";"1.5568";"1.3191";"0.6722";"0.6426";"0.6965";"1.4287";"1.4537";"1.7033";"1.4154";"1.5187";"1.3149";"1.5097";"0.6553";"0.7825";"0.7144";"1.4277";"1.4702";"0.8164"
"u-837984";"Z_2";"10";"sum";"TRUE";"10";"0";"10";"3";"0.9948";"0";"0";"0";"0";"0.8489";"0.9022";"0.9537";"0.6843";"2e-04";"1e-04";"0";"0";"0";"0";"0.6485";"1.1076";"0.8254";"0.787";"0.2734";"0.653";"1e-04";"3e-04";"1e-04";"0";"0.7175";"0.2394";"1.0724";"0.4677";"2e-04";"0.676"
"v-900099";"Z_2";"5";"sum";"TRUE";"20";"0.5";"0.1";"4";"0.4043";"0.3938";"0.4727";"0.4123";"0.3661";"0.3964";"0.4124";"0.4113";"0.3235";"0.4773";"0.4273";"0.4207";"0.44";"0.4437";"0.3536";"0.3968";"0.3779";"0.4467";"0.4085";"0.3427";"0.3129";"0.4798";"0.5136";"0.4466";"0.3959";"0.3612";"0.4576";"0.4236";"0.3196";"0.5044";"0.4106"
"j-969818";"Z_5";"100";"sum";"FALSE";"5";"0";"0.2";"4";"1.0347";"0.6246";"0.7629";"0.5527";"0.7389";"0.9147";"1.093";"0.7266";"1.0668";"0.6813";"0.3938";"0.6644";"0.6158";"0.778";"0.5791";"0.8645";"0.4716";"0.8402";"0.6846";"1.115";"0.7266";"0.4139";"0.6949";"0.4492";"0.6253";"0.4948";"0.8768";"0.5028";"0.6846";"0.4348";"0.5702"
"o-216631";"Z_4";"3";"sum";"FALSE";"20";"5";"10";"1";"0";"0";"1.8678";"0";"0";"0";"1.8458";"0";"0";"1.8636";"0";"2e-04";"1.8547";"1.8676";"0";"1.8485";"0";"2e-04";"1.8209";"1.8483";"0";"1.8548";"1.8707";"0.0016";"1.8554";"1.831";"1.8452";"9e-04";"1.821";"1.8599";"1.8231"
"o-853892";"Z_6";"2";"sum";"FALSE";"10";"0.1";"0";"1";"0.9449";"0.94";"0.8957";"1.5194";"1.0436";"1.0388";"0.8535";"1.5388";"1.0476";"1.3358";"1.3501";"0.9724";"0.8026";"0.7546";"1.6485";"1.343";"1.3563";"1.0982";"0.9354";"0.7736";"1.6657";"1.438";"1.3595";"1.3651";"0.9557";"1.4566";"1.3631";"1.3789";"1.0843";"1.4665";"1.4806"
"i-447875";"Z_3";"50";"product";"FALSE";"100";"10";"1";"2";"0.0574";"9e-04";"0.0158";"0.0155";"0.0047";"0.0407";"0.0614";"0.0548";"0.0421";"2e-04";"0.0015";"1e-04";"0.0232";"0.0022";"0.0366";"0.0421";"0.0383";"7e-04";"0.0548";"0.0388";"0.162";"3e-04";"0";"8e-04";"0.0277";"0.0328";"0";"0.0018";"0.1213";"1e-04";"4e-04"
"s-175856";"Z_6";"100";"sum";"TRUE";"50";"0.2";"5";"4";"0.0037";"0.0031";"0.0032";"0.0089";"0.0022";"0.0044";"0.0032";"0.0096";"0.0027";"0.0034";"0.0089";"0.0038";"0.0094";"0.002";"0.012";"0.0046";"0.0096";"0.004";"0.0091";"0.0028";"0.0073";"0.0094";"0.0035";"0.0117";"0.0103";"0.0089";"0.0043";"0.0075";"0.0069";"0.0101";"0.0064"
"p-295208";"Z_4";"2";"product";"FALSE";"3";"0.5";"0.2";"4";"1.0933";"1.0535";"1.0332";"1.2049";"0.793";"1.0584";"1.108";"1.3176";"0.9345";"0.9708";"1.1785";"0.6669";"1.2837";"0.8252";"1.1088";"1.0581";"1.2397";"0.7684";"1.3436";"0.9713";"1.1202";"1.0646";"0.8382";"0.947";"1.1419";"1.1148";"0.9149";"0.9609";"1.1804";"0.9329";"0.9579"
"a-475294";"Z_3";"100";"sum";"FALSE";"50";"5";"0.1";"4";"0.1309";"1.2877";"1.8986";"1.7506";"1.7021";"0.0818";"0.126";"0.1305";"0.1284";"1.4559";"1.0486";"1.4913";"1.7632";"1.8969";"1.6791";"0.0734";"0.0453";"0.0795";"0.1255";"0.1243";"0.129";"1.0212";"1.4211";"0.971";"1.6809";"0.0344";"0.0724";"0.0351";"0.1247";"1.4362";"0.026"
"r-151591";"Z_5";"100";"product";"FALSE";"3";"0.2";"0.1";"3";"0.9594";"0.7653";"0.5343";"0.52";"1.1831";"1.4493";"0.9941";"0.9786";"1.4091";"0.7791";"0.9161";"0.9395";"0.7638";"0.458";"1.4701";"1.3705";"1.477";"0.9849";"1.2205";"0.5391";"1.1471";"1.0916";"0.5838";"1.565";"0.6315";"1.5449";"1.0319";"1.1326";"0.6997";"0.8128";"0.8409"
"p-502548";"Z_3";"2";"product";"TRUE";"10";"0.1";"0.5";"3";"0.968";"1.2448";"1.06";"1.1757";"1.2019";"1.2583";"0.933";"1.105";"1.223";"1.1995";"1.2272";"0.9954";"1.06";"1.3238";"0.995";"0.874";"1.1413";"0.8264";"0.995";"1.3311";"0.995";"1.1995";"1.2616";"0.9661";"0.933";"0.933";"1.1209";"0.9533";"0.933";"1.0421";"1.1947"
"l-177165";"Z_3";"100";"product";"TRUE";"20";"2";"2";"1";"0";"0";"0";"0";"0";"1.893";"0.0024";"0";"0";"0";"0";"0";"0";"0";"0";"0.2933";"1.9602";"0.189";"0.0017";"0.0013";"0";"0";"0";"0";"0";"0.2562";"0.2794";"0.0087";"0.0021";"0";"0.1605"
"a-506649";"Z_6";"50";"sum";"FALSE";"100";"0.5";"0";"1";"0.0023";"0.0024";"0.1655";"0.1222";"1e-04";"0.003";"0.17";"0.1272";"3e-04";"0.1583";"0.0557";"0.0031";"0.0217";"0.2533";"0.112";"0.1722";"0.0777";"0.0011";"0.0184";"0.3976";"0.127";"0.0193";"0.2928";"0.1478";"0.1089";"0.0204";"0.3865";"0.5324";"0.0969";"0.1107";"0.0765"
"f-182643";"Z_1";"5";"product";"TRUE";"2";"0.1";"0.5";"3";"0.6051";"0.7281";"0.6128";"0.3859";"0.7158";"0.5051";"0.9531";"0.6062";"1.3104";"0.6665";"0.663";"0.7729";"0.5847";"0.6424";"0.7086";"0.5078";"0.5089";"0.4564";"1.0123";"1.166";"1.8971";"0.633";"0.6949";"0.7296";"0.6457";"0.5058";"0.4774";"0.4055";"1.8529";"0.6672";"0.6264"
"h-971394";"Z_5";"50";"product";"TRUE";"10";"0.1";"5";"2";"0.1055";"0.1509";"0.1144";"0.0237";"0.1387";"0.0659";"0.1152";"0.0101";"0.1701";"0.1057";"0.0095";"0.0902";"0.0181";"0.168";"0.0644";"0.11";"0.0044";"0.1303";"0.0128";"0.2069";"0.0628";"0.0066";"0.1108";"0.0128";"0.0495";"0.0065";"0.125";"0.0139";"0.0607";"0.0141";"0.0147"
"f-766590";"Z_4";"20";"product";"FALSE";"10";"0.1";"0.2";"2";"0.6594";"0.4951";"0.2975";"0.7143";"0.1476";"0.4972";"0.8075";"0.2825";"0.4423";"0.219";"0.3055";"0.5181";"0.6883";"0.2006";"0.5837";"0.5894";"0.2494";"0.2911";"0.7684";"0.6059";"0.2889";"0.6189";"0.1647";"0.316";"0.6981";"0.643";"0.5058";"0.3594";"0.68";"0.6442";"0.4171"
"o-566044";"Z_4";"3";"sum";"FALSE";"100";"0.5";"0";"1";"0.1122";"0.2131";"1.3684";"0.1389";"0.7901";"0.372";"1.371";"0.1189";"0.7713";"1.3705";"0.2335";"0.7915";"1.2134";"0.2247";"0.1045";"1.3628";"0.3471";"0.7552";"1.2005";"0.191";"0.0995";"1.2139";"0.2357";"0.105";"0.0277";"1.1937";"0.1524";"0.0828";"0.0244";"0.0285";"0.0255"
"n-699528";"Z_1";"2";"sum";"FALSE";"100";"0";"10";"3";"0.4178";"0.7543";"0.6241";"0.5859";"0.6596";"0.4181";"0.3038";"0.3221";"0.4312";"0.7566";"0.6596";"0.8131";"0.557";"0.6058";"0.6002";"0.331";"0.3128";"0.4272";"0.2091";"0.2923";"0.4113";"0.6575";"0.7912";"0.6838";"0.5531";"0.2117";"0.3224";"0.3123";"0.1997";"0.6995";"0.2022"
"m-944419";"Z_4";"5";"sum";"TRUE";"3";"5";"5";"4";"0.1956";"0.2359";"0.1924";"0.1856";"0.1596";"0.2359";"0.1933";"0.1711";"0.1545";"0.202";"0.226";"0.1905";"0.1613";"0.1418";"0.1727";"0.1897";"0.2211";"0.1913";"0.158";"0.1431";"0.1524";"0.1714";"0.152";"0.1766";"0.1359";"0.1758";"0.1531";"0.1781";"0.1327";"0.1436";"0.1448"
"s-858569";"Z_5";"20";"product";"TRUE";"3";"2";"0.1";"1";"0.2995";"0.2716";"0.3194";"0.25";"0.6938";"0.2378";"0.2761";"0.2459";"0.6562";"0.2628";"0.25";"0.4846";"0.1939";"0.3203";"0.0837";"0.2339";"0.2186";"0.5634";"0.1906";"0.4215";"0.079";"0.1777";"0.4743";"0.0774";"0.2563";"0.1599";"0.3737";"0.0837";"0.2823";"0.4473";"0.4473"
"j-485754";"Z_4";"5";"sum";"TRUE";"10";"0";"2";"4";"0.738";"0.8082";"0.7335";"0.4149";"0.5708";"0.8096";"0.7439";"0.4144";"0.5692";"0.8033";"0.4445";"0.5253";"0.3799";"0.5725";"0.3618";"0.8056";"0.4669";"0.5332";"0.3795";"0.5707";"0.3391";"0.4167";"0.5448";"0.3156";"0.2432";"0.4239";"0.5227";"0.2789";"0.2489";"0.2979";"0.2633"
"p-312776";"Z_4";"50";"product";"TRUE";"20";"10";"10";"3";"0";"0";"0.9519";"0";"0";"0";"0.8949";"0";"0";"0.977";"0";"1.4429";"1.182";"0.1645";"0";"0.9046";"0";"1.7104";"1.1407";"0.1872";"0";"1.1985";"0.2326";"0.4218";"1.3985";"1.1381";"0.2607";"0.7836";"1.1636";"1.0542";"1.3904"
"e-655085";"Z_2";"10";"sum";"FALSE";"3";"1";"1";"4";"0.2611";"0.2916";"0.2163";"0.1854";"0.2082";"0.3429";"0.2811";"0.2424";"0.3079";"0.276";"0.2424";"0.2563";"0.189";"0.229";"0.1783";"0.324";"0.2942";"0.3878";"0.2122";"0.2916";"0.276";"0.2334";"0.276";"0.2334";"0.2004";"0.1598";"0.3811";"0.299";"0.2516";"0.2424";"0.2497"
"j-254104";"Z_1";"10";"sum";"TRUE";"10";"0";"5";"1";"0.1981";"0.5475";"0.4308";"0.262";"0.4473";"1.257";"1.0094";"0.1621";"0.9181";"0.5971";"0.4804";"0.6388";"0.4643";"0.4147";"0.4643";"1.474";"1.3268";"1.2884";"0.8149";"1.0094";"1.2055";"0.532";"0.5209";"0.7301";"0.4043";"1.4123";"1.0373";"1.1302";"1.0955";"0.624";"1.6291"
"a-401478";"Z_2";"5";"sum";"TRUE";"5";"1";"10";"4";"0.219";"0.5879";"0.2834";"0.1247";"0.2689";"0.5002";"0.3756";"0.1687";"0.303";"0.7208";"0.5848";"0.6672";"0.2297";"0.3732";"0.2311";"0.6577";"0.5427";"0.6044";"0.3317";"0.4668";"0.2718";"0.7899";"0.7629";"0.6935";"0.3114";"0.7663";"0.7123";"0.6549";"0.4232";"0.8265";"0.7943"
"a-161565";"Z_6";"20";"sum";"TRUE";"10";"2";"0.2";"4";"1.3463";"1.2327";"1.3908";"1.4078";"0.0475";"1.1926";"1.375";"1.3271";"0.0434";"1.3171";"1.3975";"0.0384";"1.3118";"0.0478";"0.0842";"1.281";"1.3741";"1.0552";"1.2114";"0.0427";"1.5442";"1.3349";"0.0348";"1.4838";"0.087";"1.3004";"1.1026";"1.3208";"1.4355";"1.3487";"1.2384"
"g-970136";"Z_1";"10";"sum";"FALSE";"5";"10";"5";"3";"0.5171";"0.3007";"0.6767";"1.0843";"1.4412";"1.6137";"0.4812";"0.9126";"0.3889";"0.4858";"0.216";"0.7504";"0.3262";"0.6238";"1.3971";"1.6305";"1.8305";"1.6163";"0.8988";"0.4014";"0.8429";"0.3182";"0.5802";"1.47";"0.3303";"1.852";"1.7726";"1.8574";"0.8645";"0.4053";"1.8429"
"l-673995";"Z_4";"2";"sum";"FALSE";"100";"10";"1";"4";"0.9533";"1.3832";"1.0405";"0.8833";"0.933";"0.8123";"1.0494";"0.896";"0.9399";"1.4075";"0.8479";"0.7267";"0.8712";"1.0158";"0.8819";"0.9196";"0.9677";"0.8011";"0.832";"1.0343";"0.8818";"1.4471";"0.8389";"0.8528";"0.8619";"0.8957";"0.9067";"0.9541";"0.8159";"0.9955";"0.8797"
